 Number | Obsoleted |        Reference
        |     By    |          
--------+-----------+-----------------------------------------------------------
RFC0001 |           | Crocker, S., "Host Software", RFC 1, April 1969.
RFC0002 |           | Duvall, B., "Host software", RFC 2, April 1969.
RFC0003 |   RFC0010 | Crocker, S., "Documentation conventions", RFC 3, April 1969.
RFC0004 |           | Shapiro, E., "Network timetable", RFC 4, March 1969.
RFC0005 |           | Rulifson, J., "Decode Encode Language (DEL)", RFC 5, June 1969.
RFC0006 |           | Crocker, S., "Conversation with Bob Kahn", RFC 6, April 1969.
RFC0007 |           | Deloche, G., "Host-IMP interface", RFC 7, May 1969.
RFC0008 |           | Deloche, G., "ARPA Network Functional Specifications", RFC 8, May 1969.
RFC0009 |           | Deloche, G., "Host Software", RFC 9, May 1969.
RFC0010 |   RFC0016 | Crocker, S., "Documentation conventions", RFC 10, July 1969.
RFC0011 |   RFC0033 | Deloche, G., "Implementation of the Host - Host Software Procedures in GORDO", RFC 11, August 1969.
RFC0012 |           | Wingfield, M., "IMP-Host interface flow diagrams", RFC 12, August 1969.
RFC0013 |           | Cerf, V., "Zero Text Length EOF Message", RFC 13, August 1969.
RFC0015 |           | Carr, C., "Network subsystem for time sharing hosts", RFC 15, September 1969.
RFC0016 |   RFC0024 | Crocker, S., "M.I.T", RFC 16, August 1969.
RFC0017 |           | Kreznar, J., "Some questions re: Host-IMP Protocol", RFC 17, August 1969.
RFC0018 |           | Cerf, V., "IMP-IMP and HOST-HOST Control Links", RFC 18, September 1969.
RFC0019 |           | Kreznar, J., "Two protocol suggestions to reduce congestion at swap bound nodes", RFC 19, October 1969.
RFC0020 |           | Cerf, V., "ASCII format for network interchange", RFC 20, October 1969.
RFC0021 |           | Cerf, V., "Network meeting", RFC 21, October 1969.
RFC0022 |           | Cerf, V., "Host-host control message formats", RFC 22, October 1969.
RFC0023 |           | Gregg, G., "Transmission of Multiple Control Messages", RFC 23, October 1969.
RFC0024 |           | Crocker, S., "Documentation Conventions", RFC 24, November 1969.
RFC0025 |           | Crocker, S., "No High Link Numbers", RFC 25, October 1969.
RFC0027 |           | Crocker, S., "Documentation Conventions", RFC 27, December 1969.
RFC0028 |           | English, W., "Time Standards", RFC 28, January 1970.
RFC0029 |           | Kahn, R., "Response to RFC 28", RFC 29, January 1970.
RFC0030 |           | Crocker, S., "Documentation Conventions", RFC 30, February 1970.
RFC0031 |           | Bobrow, D. and W. Sutherland, "Binary Message Forms in Computer", RFC 31, February 1968.
RFC0032 |           | Cole, J., "Some Thoughts on SRI's Proposed Real Time Clock", RFC 32, February 1970.
RFC0033 |           | Crocker, S., "New Host-Host Protocol", RFC 33, February 1970.
RFC0034 |           | English, W., "Some Brief Preliminary Notes on the Augmentation Research Center Clock", RFC 34, February 1970.
RFC0035 |           | Crocker, S., "Network Meeting", RFC 35, March 1970.
RFC0036 |           | Crocker, S., "Protocol Notes", RFC 36, March 1970.
RFC0037 |           | Crocker, S., "Network Meeting Epilogue, etc", RFC 37, March 1970.
RFC0038 |           | Wolfe, S., "Comments on Network Protocol from NWG/RFC #36", RFC 38, March 1970.
RFC0039 |           | Harslem, E. and J. Heafner, "Comments on Protocol Re: NWG/RFC #36", RFC 39, March 1970.
RFC0040 |           | Harslem, E. and J. Heafner, "More Comments on the Forthcoming Protocol", RFC 40, March 1970.
RFC0041 |           | Melvin, J., "IMP-IMP Teletype Communication", RFC 41, March 1970.
RFC0042 |           | Ancona, E., "Message Data Types", RFC 42, March 1970.
RFC0043 |           | Nemeth, A., "Proposed Meeting", RFC 43, April 1970.
RFC0044 |           | Shoshani, A., Long, R., and A. Landsberg, "Comments on NWG/RFC 33 and 36", RFC 44, April 1970.
RFC0045 |           | Postel, J. and S. Crocker, "New Protocol is Coming", RFC 45, April 1970.
RFC0046 |           | Meyer, E., "ARPA Network protocol notes", RFC 46, April 1970.
RFC0047 |           | Postel, J. and S. Crocker, "BBN's Comments on NWG/RFC #33", RFC 47, April 1970.
RFC0048 |           | Postel, J. and S. Crocker, "Possible protocol plateau", RFC 48, April 1970.
RFC0049 |           | Meyer, E., "Conversations with S. Crocker (UCLA)", RFC 49, April 1970.
RFC0050 |           | Harslen, E. and J. Heafner, "Comments on the Meyer Proposal", RFC 50, April 1970.
RFC0051 |           | Elie, M., "Proposal for a Network Interchange Language", RFC 51, May 1970.
RFC0052 |           | Postel, J. and S. Crocker, "Updated distribution list", RFC 52, July 1970.
RFC0053 |           | Crocker, S., "Official protocol mechanism", RFC 53, June 1970.
RFC0054 |           | Crocker, S., Postel, J., Newkirk, J., and M. Kraley, "Official Protocol Proffering", RFC 54, June 1970.
RFC0055 |           | Newkirk, J., Kraley, M., Postel, J., and S. Crocker, "Prototypical implementation of the NCP", RFC 55, June 1970.
RFC0056 |           | Belove, E., Black, D., Flegal, R., and L. Farquar, "Third Level Protocol: Logger Protocol", RFC 56, June 1970.
RFC0057 |           | Kraley, M. and J. Newkirk, "Thoughts and Reflections on NWG/RFC 54", RFC 57, June 1970.
RFC0058 |           | Skinner, T., "Logical Message Synchronization", RFC 58, June 1970.
RFC0059 |           | Meyer, E., "Flow Control - Fixed Versus Demand Allocation", RFC 59, June 1970.
RFC0060 |           | Kalin, R., "Simplified NCP Protocol", RFC 60, July 1970.
RFC0061 |   RFC0062 | Walden, D., "Note on Interprocess Communication in a Resource Sharing Computer Network", RFC 61, July 1970.
RFC0062 |           | Walden, D., "Systems for Interprocess Communication in a Resource Sharing Computer Network", RFC 62, August 1970.
RFC0063 |           | Cerf, V., "Belated Network Meeting Report", RFC 63, July 1970.
RFC0064 |           | Elie, M., "Getting rid of marking", RFC 64, July 1970.
RFC0065 |           | Walden, D., "Comments on Host/Host Protocol document #1", RFC 65, August 1970.
RFC0066 |   RFC0123 | Crocker, S., "NIC - third level ideas and other noise", RFC 66, August 1970.
RFC0067 |           | Crowther, W., "Proposed Change to Host/IMP Spec to Eliminate Marking", RFC 67, January 1970.
RFC0068 |           | Elie, M., "Comments on Memory Allocation Control Commands: CEASE, ALL, GVB, RET, and RFNM", RFC 68, August 1970.
RFC0069 |           | Bhushan, A., "Distribution List Change for MIT", RFC 69, September 1970.
RFC0070 |           | Crocker, S., "Note on Padding", RFC 70, October 1970.
RFC0071 |           | Schipper, T., "Reallocation in Case of Input Error", RFC 71, September 1970.
RFC0072 |           | Bressler, R., "Proposed Moratorium on Changes to Network Protocol", RFC 72, September 1970.
RFC0073 |           | Crocker, S., "Response to NWG/RFC 67", RFC 73, September 1970.
RFC0074 |           | White, J., "Specifications for Network Use of the UCSB On-Line System", RFC 74, October 1970.
RFC0075 |           | Crocker, S., "Network Meeting", RFC 75, October 1970.
RFC0076 |           | Bouknight, J., Madden, J., and G. Grossman, "Connection by name: User oriented protocol", RFC 76, October 1970.
RFC0077 |           | Postel, J., "Network meeting report", RFC 77, November 1970.
RFC0078 |           | Harslem, E., Heafner, J., and J. White, "NCP Status Report: UCSB/Rand", RFC 78, October 1970.
RFC0079 |           | Meyer, E., "Logger Protocol error", RFC 79, November 1970.
RFC0080 |   RFC0123 | Harslem, E. and J. Heafner, "Protocols and Data Formats", RFC 80, December 1970.
RFC0081 |           | Bouknight, J., "Request for Reference Information", RFC 81, December 1970.
RFC0082 |           | Meyer, E., "Network Meeting Notes", RFC 82, December 1970.
RFC0083 |           | Anderson, R., Harslem, E., and J. Heafner, "Language-machine for data reconfiguration", RFC 83, December 1970.
RFC0084 |           | North, J., "List of NWG/RFC's 1-80", RFC 84, December 1970.
RFC0085 |           | Crocker, S., "Network Working Group meeting", RFC 85, December 1970.
RFC0086 |           | Crocker, S., "Proposal for a Network Standard Format for a Data Stream to Control Graphics Display", RFC 86, January 1971.
RFC0087 |           | Vezza, A., "Topic for Discussion at the Next Network Working Group Meeting", RFC 87, January 1971.
RFC0088 |   RFC0189 | Braden, R. and S. Wolfe, "NETRJS: A third level protocol for Remote Job Entry", RFC 88, January 1971.
RFC0089 |           | Metcalfe, R., "Some historic moments in networking", RFC 89, January 1971.
RFC0090 |           | Braden, R., "CCN as a Network Service Center", RFC 90, January 1971.
